,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
cfipathq函数,0,0,0,0,0,1,0,0,0,1,0.145
cfidersrcmapo函数,0,0,0,0,0,1,0,0,0,1,0.145
cfipath,0,0,0,0,0,1,0,0,0,1,0.145
cfiders,0,0,0,0,0,1,0,0,0,1,0.145
phypcfich模块,0,0,0,0,0,1,0,0,0,1,0.145
pcfich模块,0,0,0,0,0,1,0,0,0,1,0.145
phich消息,0,0,0,0,0,1,0,0,0,1,0.145
资源分配信息,0,0,0,0,0,1,0,0,0,1,0.145
harq重传,0,0,0,0,0,1,0,0,0,1,0.145
nack信息,0,0,0,0,0,1,0,0,0,1,0.145
ack/,0,0,0,0,0,2,0,0,0,2,0.29
harq,0,0,0,0,4,9,0,0,0,13,1.8849999999999998
pusch信道,0,0,0,0,2,4,0,0,0,6,0.8699999999999999
ete系统,0,0,1,1,1,2,0,0,0,5,0.6849999999999999
符号数,0,0,0,0,0,1,0,0,0,1,0.145
下行子帧,0,0,0,1,5,2,0,0,0,8,1.14
pdcch模块,0,0,0,0,0,1,0,0,0,1,0.145
上行蜂窝通信资源,0,0,0,0,0,1,0,0,0,1,0.145
频谱空洞,0,0,0,2,0,1,0,0,0,3,0.395
控制信息,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
资源分配,0,0,1,4,0,1,0,0,0,6,0.77
蜂窝基站,0,0,0,7,1,3,0,0,0,11,1.455
承载下行控制信息,0,0,0,0,0,1,0,0,0,1,0.145
下行控制信道,0,0,0,0,0,1,0,0,0,1,0.145
ete协议体系,0,0,0,0,0,1,0,0,0,1,0.145
链路测量,0,0,0,2,11,0,0,0,0,13,1.845
调度,0,0,1,2,6,5,0,0,0,14,1.97
干扰管理机制,0,0,0,0,4,0,0,0,0,4,0.58
频谱,0,0,1,1,3,0,0,0,0,5,0.6849999999999999
蜂窝上行通信,0,0,0,0,4,1,0,17,0,22,3.19
蜂窝用户链路,0,0,0,0,2,1,0,0,0,3,0.43499999999999994
pdcchformat0dci消息,0,0,0,0,2,0,0,0,0,2,0.29
it,0,0,0,0,2,0,0,0,0,2,0.29
调制编码,0,0,0,0,2,3,0,0,0,5,0.725
上行数据,0,0,0,0,2,0,0,0,0,2,0.29
通信传输能力,0,0,0,0,1,0,0,0,0,1,0.145
质量损失,0,0,0,0,1,0,0,0,0,1,0.145
d2d干扰管理策略,0,0,0,0,1,0,0,0,0,1,0.145
分布式,0,0,2,4,1,0,0,0,0,7,0.895
质量反馈,0,0,0,0,1,0,0,0,0,1,0.145
d2d干扰管理,0,0,0,0,1,0,0,0,0,1,0.145
advanced,0,0,0,0,1,0,0,0,0,1,0.145
复用,0,0,0,0,5,0,0,0,0,5,0.725
蜂窝通信,0,0,3,9,2,0,0,0,0,14,1.79
正交,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
d2d链路损耗水平,0,0,0,0,1,0,0,0,0,1,0.145
d2did-passloss,0,0,0,0,1,0,0,0,0,1,0.145
路径损耗,0,0,0,0,5,2,0,0,0,7,1.015
率测量,0,0,0,0,1,0,0,0,0,1,0.145
链路对称性,0,0,0,0,1,0,0,0,0,1,0.145
定时广播信号,0,0,0,0,2,0,0,0,0,2,0.29
蜂窝终端干扰水平列表,0,0,0,0,1,0,0,0,0,1,0.145
干扰水平,0,0,0,0,1,0,0,0,0,1,0.145
功率测量,0,0,0,0,3,0,0,4,0,7,1.015
频域功率测量,0,0,0,0,1,0,0,0,0,1,0.145
ueid,0,0,0,0,1,1,0,0,0,2,0.29
上行通信,0,0,0,1,1,0,0,3,0,5,0.705
定时广播,0,0,0,0,2,0,0,0,0,2,0.29
链路测量信息,0,0,0,0,2,4,0,0,0,6,0.8699999999999999
映射,0,0,0,0,1,0,0,0,0,1,0.145
资源段,0,0,0,0,1,0,0,0,0,1,0.145
ueid-rb,0,0,0,0,1,0,0,0,0,1,0.145
上频域资源,0,0,0,0,1,0,0,0,0,1,0.145
盲解码,0,0,0,1,1,0,0,0,0,2,0.27
ti,0,0,0,0,1,0,0,0,0,1,0.145
cqi,0,0,0,0,1,0,0,0,0,1,0.145
cyclicshift,0,0,0,0,1,0,0,0,0,1,0.145
pusch解调导频,0,0,0,0,1,0,0,0,0,1,0.145
传输功率控制,0,0,0,0,1,0,0,0,0,1,0.145
新数据,0,0,0,0,1,1,0,0,0,2,0.29
冗余版本,0,0,0,0,1,0,0,0,0,1,0.145
rb资源分配信息,0,0,0,0,1,0,0,0,0,1,0.145
ibit,0,0,0,0,1,0,0,0,0,1,0.145
跳频,0,0,0,0,1,0,0,0,0,1,0.145
字段长度,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
字段内容,0,0,0,0,1,0,0,0,0,1,0.145
上行带宽,0,0,0,0,1,0,0,0,0,1,0.145
tddconfig1,0,0,0,0,1,0,0,0,0,1,0.145
时序,0,0,3,0,4,1,1,0,0,9,1.2449999999999999
format0dci,0,0,0,0,1,0,0,0,0,1,0.145
频域资源,0,0,0,0,5,1,0,3,0,9,1.305
调度信令,0,0,0,0,1,0,0,0,0,1,0.145
ete协议,0,0,1,0,2,1,0,0,0,4,0.5599999999999999
频谱探测,0,0,0,0,2,0,0,0,0,2,0.29
gpp,2,0,6,2,0,1,2,0,1,14,3.58
软件无线电系统,0,0,4,0,0,0,0,0,0,4,0.5
软件无线电技术,0,0,3,0,0,0,0,0,0,3,0.375
程序,0,0,2,0,0,0,1,0,0,3,0.395
sdr平台,0,0,2,0,0,0,1,0,0,3,0.395
服务器,1,0,2,0,0,2,0,0,0,5,1.54
usrp设备,0,0,2,0,0,0,0,0,0,2,0.25
通用处理器,2,0,2,0,0,2,0,0,0,6,2.54
软件,0,0,2,0,0,2,0,0,0,4,0.54
硬件设备,0,0,2,0,0,0,0,0,0,2,0.25
sdr,1,0,2,1,0,0,0,0,0,4,1.375
数据处理过程,0,0,1,0,0,0,0,0,0,1,0.125
高速无线通信系统,0,0,1,0,0,0,0,0,0,1,0.125
计算资源,0,0,1,0,0,0,0,0,0,1,0.125
射频端,0,0,1,0,0,1,0,0,0,2,0.27
逻辑,0,0,1,0,0,3,0,0,0,4,0.5599999999999999
速率,1,0,1,0,0,0,0,4,0,6,1.705
带宽,0,0,1,1,0,0,0,0,0,2,0.25
频点,0,0,1,0,0,0,0,0,0,1,0.125
uhd驱动程序,0,0,1,0,0,0,0,0,0,1,0.125
用射频模块,0,0,1,0,0,0,0,0,0,1,0.125
中频滤波,0,0,1,0,0,0,0,0,0,1,0.125
前端放大,0,0,1,0,0,0,0,0,0,1,0.125
混频,0,0,1,0,0,0,0,0,0,1,0.125
以太网接口,0,0,1,0,0,0,0,0,0,1,0.125
无线电硬件平台,0,0,1,0,0,0,0,0,0,1,0.125
小型软件,0,0,1,0,0,0,0,0,0,1,0.125
开源,0,0,1,0,0,0,0,0,0,1,0.125
ettusresearch,0,0,1,0,0,0,0,0,0,1,0.125
通用软件无线电设备,0,0,1,0,0,0,0,0,0,1,0.125
gnuradio平台,0,0,1,0,0,0,0,0,0,1,0.125
射频前端,0,0,1,0,0,1,0,0,0,2,0.27
sora平台,0,0,1,0,0,0,0,0,0,1,0.125
gpp-sdr平台,0,0,1,0,0,0,0,0,0,1,0.125
处理单元,0,0,1,0,0,0,0,0,0,1,0.125
射频单元,0,0,1,0,0,0,0,0,0,1,0.125
虚拟化技术,0,0,1,0,0,0,0,0,0,1,0.125
效率,0,0,3,0,1,0,1,0,0,5,0.665
gpp性能,0,0,1,0,0,0,0,0,0,1,0.125
用户接口,0,0,1,0,0,0,0,0,0,1,0.125
业务数据,0,0,1,1,0,4,0,0,0,6,0.83
开源软件资源,0,0,1,0,0,0,0,0,0,1,0.125
编程语言,0,0,1,0,0,0,0,0,0,1,0.125
利用率,0,0,1,0,0,0,0,0,0,1,0.125
逻辑处理能力,0,0,1,0,0,0,0,0,0,1,0.125
fpga,0,0,1,0,0,0,2,0,0,3,0.415
dsp,0,0,1,0,0,0,2,0,0,3,0.415
数据处理能力,0,0,1,0,0,0,0,0,0,1,0.125
平台,0,0,2,0,0,0,1,1,0,4,0.54
asic,0,0,1,0,0,0,0,0,0,1,0.125
dspsfpga,0,0,1,0,0,0,0,0,0,1,0.125
软件无线电平台,0,0,2,0,0,2,0,0,0,4,0.54
新技术,0,0,1,0,0,0,0,0,0,1,0.125
新业务,0,0,1,0,0,0,0,0,0,1,0.125
移动通信技术,1,0,7,0,0,0,0,0,0,8,1.875
移动通信系统,0,0,2,1,0,0,0,0,0,3,0.375
多模通信平台,0,0,1,0,0,0,0,0,0,1,0.125
基带处理,0,0,1,0,0,0,0,0,0,1,0.125
体系结构,0,0,1,0,0,0,0,0,0,1,0.125
硬件平台,0,0,1,0,0,0,0,0,0,1,0.125
softwaredefinedradio,0,0,1,0,0,0,0,0,0,1,0.125
射频硬件,0,0,1,0,0,0,0,0,0,1,0.125
多址接入,0,0,1,0,0,0,0,0,0,1,0.125
编码,0,0,1,0,0,1,0,0,0,2,0.27
调制,0,0,1,1,1,3,0,0,0,6,0.83
移动通信设备,0,0,1,0,0,0,0,0,0,1,0.125
点对点通信,0,0,0,4,9,2,0,1,0,16,2.2399999999999998
ete蜂窝系统,0,0,0,3,0,0,0,0,0,3,0.375
中继转发,0,0,0,3,1,3,0,2,0,9,1.2449999999999999
授权信息,0,0,0,3,0,0,0,0,0,3,0.375
蜂窝通信资源,0,0,0,2,0,0,0,0,0,2,0.25
蜂窝下行资源,0,0,0,3,0,0,0,0,0,3,0.375
干扰辐射半径,0,0,0,2,0,0,0,0,0,2,0.25
网络,0,0,3,1,2,1,0,0,1,8,1.08
中继转,0,0,0,1,0,0,0,0,0,1,0.125
transmition,0,0,0,1,0,0,0,0,0,1,0.125
data,0,0,0,1,0,1,0,0,0,2,0.27
无蜂窝覆盖时,0,0,0,1,0,0,0,0,0,1,0.125
远场干扰场,0,0,0,1,0,0,0,0,0,1,0.125
近场干扰场,0,0,0,1,0,0,0,1,0,2,0.27
基本通信,0,0,0,1,0,0,0,0,0,1,0.125
组网通信,0,0,0,1,0,0,0,0,0,1,0.125
信道质量信息,0,0,0,1,0,0,0,0,0,1,0.125
信道质量,0,0,0,1,0,0,0,0,0,1,0.125
发送链路,0,0,0,1,0,7,1,0,0,9,1.285
信道测量,0,0,0,1,0,0,0,0,0,1,0.125
双向链路,0,0,0,1,0,0,0,0,0,1,0.125
信道环境,0,0,0,2,0,0,0,0,0,2,0.25
辅助信息,0,0,2,1,3,0,0,1,0,7,0.955
干扰控制,0,0,0,5,0,0,0,1,0,6,0.77
本地id,0,0,0,1,0,0,0,0,0,1,0.125
网络规模,0,0,0,1,0,0,0,0,0,1,0.125
动态管理,0,0,0,1,0,0,0,0,0,1,0.125
接入,2,0,2,1,1,1,0,0,1,8,2.81
网络管理,0,0,0,1,0,0,0,0,0,1,0.125
复用蜂窝,0,0,1,1,0,0,0,0,1,3,0.395
d2d通信复用,0,0,0,3,0,0,0,0,0,3,0.375
干扰管理,0,0,0,2,0,0,0,0,0,2,0.25
频谱感知,0,0,0,6,0,0,0,0,0,6,0.75
pdcch消息,0,0,0,1,1,0,0,0,0,2,0.27
基站信号,0,0,0,1,0,0,0,0,0,1,0.125
空闲资源,0,0,0,1,0,0,0,0,0,1,0.125
上行频谱,0,0,0,1,0,0,0,0,0,1,0.125
上行流量,0,0,0,1,0,0,0,0,0,1,0.125
下行流量,0,0,0,1,0,0,0,0,0,1,0.125
上传业务量,0,0,0,1,0,0,0,0,0,1,0.125
下载业务量,0,0,0,1,0,0,0,0,0,1,0.125
移动终端,0,0,0,2,0,0,0,0,0,2,0.25
移动互联网,1,0,1,1,0,0,0,1,1,5,1.54
转发,0,0,0,2,0,0,0,0,0,2,0.25
局域网,0,0,0,1,0,0,0,0,0,1,0.125
通信模式,0,0,1,2,0,0,0,0,1,4,0.52
基項,0,0,0,1,0,0,0,0,0,1,0.125
直接通信,1,0,0,4,0,0,0,0,0,5,1.5
本地局域网,0,0,0,1,0,0,0,0,0,1,0.125
模拟d2d终端,0,0,0,1,0,0,0,0,0,1,0.125
核心网,0,0,1,1,0,1,0,0,0,3,0.395
资源管理策略,0,0,0,1,0,0,0,0,0,1,0.125
样速率,0,0,0,1,0,0,0,0,0,1,0.125
双工模式,0,0,0,2,0,0,0,0,0,2,0.25
ite无线环境,0,0,0,1,0,0,0,0,0,1,0.125
场景,0,0,0,1,0,0,0,0,0,1,0.125
符号,0,0,0,0,6,0,0,0,0,6,0.8699999999999999
接收方,0,0,0,1,5,0,0,1,0,7,0.9949999999999999
ack,0,0,0,0,8,6,0,0,0,14,2.03
上下行,0,0,0,0,3,1,0,0,0,4,0.58
收发,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
保护边带,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
d2d-,0,0,0,0,3,1,0,0,0,4,0.58
cts,0,0,0,0,4,12,0,0,0,16,2.32
rts,0,0,0,0,14,14,0,1,0,29,4.205
子帧号,0,0,0,0,3,5,0,0,0,8,1.16
d2d-rts信令,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
d2d-sync信令,0,0,0,0,3,1,0,0,0,4,0.58
物理隔离,0,0,0,0,2,0,0,0,0,2,0.29
子帧数,0,0,0,0,2,0,0,0,0,2,0.29
下行,0,0,0,0,2,0,0,0,0,2,0.29
dc,0,0,0,0,2,0,0,0,0,2,0.29
d2d-ccch信令,0,0,0,0,2,1,0,0,0,3,0.43499999999999994
隔离,0,0,0,1,2,0,0,0,0,3,0.415
d2d-cc,0,0,0,0,2,0,0,0,0,2,0.29
数据传输,0,0,0,0,4,2,0,0,0,6,0.8699999999999999
d2d-cts信令,0,0,0,0,2,0,0,0,0,2,0.29
发送方,0,0,0,2,2,0,0,0,0,4,0.54
sc-fdma,0,0,0,0,2,0,0,0,0,2,0.29
datactrl信令,0,0,0,0,1,0,0,0,0,1,0.145
cts信令,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
下行控制信号,0,0,0,0,1,0,0,0,0,1,0.145
rts信令,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
时域符号,0,0,0,0,1,0,0,0,0,1,0.145
ccch时序,0,0,0,0,1,0,0,0,0,1,0.145
ber,0,0,0,0,1,0,0,0,0,1,0.145
framen,0,0,0,0,1,0,0,0,0,1,0.145
su,0,0,0,0,1,0,0,0,0,1,0.145
tdd,0,0,0,0,2,0,0,0,0,2,0.29
d2d数据,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
daiactrl,0,0,0,0,2,1,0,0,0,3,0.43499999999999994
rts1信令,0,0,0,0,1,0,0,0,0,1,0.145
rts0信令,0,0,0,0,1,0,0,0,0,1,0.145
时序支持,0,0,0,0,1,0,0,0,0,1,0.145
crc,0,0,0,0,1,1,0,0,0,2,0.29
压缩,0,0,0,0,1,0,0,0,0,1,0.145
卷积码,0,0,0,0,1,0,0,0,0,1,0.145
物理层承载,0,0,0,0,2,0,0,0,0,2,0.29
承载数据,0,0,0,0,1,0,0,0,0,1,0.145
复杂,0,0,0,0,1,0,0,0,0,1,0.145
物理层传输能力,0,0,0,0,1,0,0,0,0,1,0.145
d2d-commoncontrolchannel,0,0,0,0,1,0,0,0,0,1,0.145
公用控制信道,0,0,0,0,1,0,0,0,0,1,0.145
d2d数据传输,0,0,0,0,4,0,0,0,0,4,0.58
数据解调信息,0,0,0,0,1,0,0,0,0,1,0.145
mcs配置信息,0,0,0,0,1,1,0,0,0,2,0.29
持续长度,0,0,0,0,1,1,0,0,0,2,0.29
起始,0,0,0,0,1,1,0,0,0,2,0.29
传输数据,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
解调控制信令,0,0,0,0,1,0,0,0,0,1,0.145
2d,0,0,0,0,1,0,0,0,0,1,0.145
信令格,0,0,0,0,1,0,0,0,0,1,0.145
广播数据传输,0,0,0,0,1,0,0,0,0,1,0.145
rts请求,0,0,0,0,5,0,0,0,0,5,0.725
广播地址,0,0,0,0,1,0,0,0,0,1,0.145
2d-sync信令格,0,0,0,0,1,0,0,0,0,1,0.145
晶振频率误差,0,0,0,0,1,0,0,0,0,1,0.145
射频器件,0,0,0,0,1,0,0,0,0,1,0.145
同步误差,0,0,0,0,1,0,0,0,0,1,0.145
粗同步,0,0,0,0,1,0,0,0,0,1,0.145
终端间,0,0,0,0,1,0,0,0,0,1,0.145
物理层参考信号,0,0,0,0,1,0,0,0,0,1,0.145
广播,0,0,0,0,1,1,0,0,0,2,0.29
功率,0,0,1,1,1,0,0,0,0,3,0.395
时频域同步,0,0,0,0,1,0,0,0,0,1,0.145
自组织,0,0,0,0,1,0,0,0,0,1,0.145
系统帧号,0,0,0,0,7,3,0,0,0,10,1.45
终端id,0,0,0,0,1,0,0,0,0,1,0.145
csma/ca流程,0,0,0,0,2,3,0,0,0,5,0.725
状态,0,0,0,0,1,0,0,0,0,1,0.145
控制信令,0,0,0,0,1,1,0,0,0,2,0.29
层级,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
提前量,0,0,0,0,3,1,0,0,0,4,0.58
pss,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
d2d数据通信,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
初始化,0,0,0,0,2,0,0,0,1,3,0.43499999999999994
上下行时序,0,0,0,0,2,0,0,0,0,2,0.29
sss信号,0,0,0,0,2,0,0,0,0,2,0.29
同步流程,0,0,0,0,1,0,0,0,0,1,0.145
提前发送,0,0,0,0,1,0,0,0,0,1,0.145
sch,0,0,0,0,2,0,0,0,0,2,0.29
定时广播信道,0,0,0,0,1,0,0,0,0,1,0.145
预定义信道,0,0,0,0,1,0,0,0,0,1,0.145
平衡配置,0,0,0,0,1,0,0,0,0,1,0.145
tdd-configl,0,0,0,0,1,0,0,0,0,1,0.145
发送提前量,0,0,0,0,1,0,0,0,0,1,0.145
时域同步,0,0,0,0,1,0,0,0,0,1,0.145
macrar消息,0,0,0,0,1,0,0,0,0,1,0.145
正交性,0,0,0,0,1,0,0,0,0,1,0.145
ofdm信号,0,0,0,0,1,0,0,0,0,1,0.145
时频域资源,0,0,0,0,1,0,0,0,0,1,0.145
发送提前,0,0,0,0,1,0,0,0,0,1,0.145
循环冗余,0,0,0,0,1,0,0,0,0,1,0.145
ue基带信号,0,0,0,0,1,0,0,0,0,1,0.145
timingadvancecommand字段,0,0,0,0,1,0,0,0,0,1,0.145
macrar,0,0,0,0,1,0,0,0,0,1,0.145
上行信号,0,0,0,0,2,0,0,0,0,2,0.29
下行链路,0,0,0,1,1,0,0,0,0,2,0.27
上行链路,0,0,0,2,2,0,0,0,0,4,0.54
行时序配置,0,0,0,0,1,0,0,0,0,1,0.145
系统配置信息,0,0,0,0,1,0,0,0,0,1,0.145
pbch消息,0,0,0,0,1,0,0,0,0,1,0.145
基站广播,0,0,0,0,1,0,0,0,0,1,0.145
小区信号,0,0,0,0,1,0,0,0,0,1,0.145
校正,0,0,0,0,1,0,0,0,0,1,0.145
小区覆盖,0,0,0,0,1,0,0,0,0,1,0.145
无线环,0,0,1,0,1,0,0,0,0,2,0.27
sss参考信号,0,0,0,0,1,0,0,0,0,1,0.145
初始状,0,0,0,0,1,0,0,0,0,1,0.145
data控制器,0,0,0,0,0,9,0,0,0,9,1.305
daia控制器,0,0,0,0,0,7,0,0,0,7,1.015
物理层解码,0,0,0,0,0,2,0,0,0,2,0.29
harq重传队列,0,0,0,0,0,2,0,0,0,2,0.29
发送功率,0,0,0,3,1,4,0,0,0,8,1.1
rrm接口,0,0,0,0,0,2,0,0,0,2,0.29
send,0,0,0,0,0,6,0,0,0,6,0.8699999999999999
接收处理逻辑,0,0,0,0,0,2,0,0,0,2,0.29
daia,0,0,0,0,0,1,0,0,0,1,0.145
nack反馈,0,0,0,0,0,1,0,0,0,1,0.145
ack控制器,0,0,0,0,0,1,0,0,0,1,0.145
广播数据,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
rlc层接收端,0,0,0,0,0,1,0,0,0,1,0.145
rlc负载,0,0,0,0,0,1,0,0,0,1,0.145
commit,0,0,0,0,0,2,0,0,0,2,0.29
lc,0,0,0,0,0,1,0,0,0,1,0.145
crc校验,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
daiacoremsg,0,0,0,0,0,1,0,0,0,1,0.145
recv,0,0,0,0,0,2,0,0,0,2,0.29
data发送处理逻辑,0,0,0,0,0,1,0,0,0,1,0.145
config字段,0,0,0,0,0,4,0,0,0,4,0.58
payload字段,0,0,0,0,0,1,0,0,0,1,0.145
rm_,0,0,0,0,0,1,0,0,0,1,0.145
重传数据,0,0,0,0,0,1,0,0,0,1,0.145
rlc缓冲区,0,0,0,0,0,1,0,0,0,1,0.145
tbsize长度,0,0,0,0,0,1,0,0,0,1,0.145
rmjn,0,0,0,0,0,1,0,0,0,1,0.145
缓冲区数据量,0,0,0,0,0,1,0,0,0,1,0.145
rlc层,0,0,0,0,0,17,1,1,0,19,2.755
发送准备指令,0,0,0,0,0,2,0,0,0,2,0.29
cts控制器,0,0,0,0,0,9,0,0,0,9,1.305
rts控制器,0,0,0,0,0,13,0,0,0,13,1.8849999999999998
heartbeatmsg,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
发送操作,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
macdaia控制器,0,0,0,0,0,1,0,0,0,1,0.145
daiactrl控制信令,0,0,0,0,0,1,0,0,0,1,0.145
业务信道,0,0,0,0,0,2,0,0,0,2,0.29
进程,0,0,0,0,0,4,1,0,0,5,0.725
进程间通信,0,0,0,0,0,2,0,0,0,2,0.29
消息传递,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
usrp器件,0,0,0,0,0,2,0,0,0,2,0.29
千兆以太网,0,0,0,0,0,2,0,0,0,2,0.29
网络层,0,0,1,0,2,15,0,1,0,19,2.735
图表,0,0,0,0,0,1,0,0,0,1,0.145
canvas,0,0,0,0,0,1,0,0,0,1,0.145
nodejs,0,0,0,0,0,1,0,0,0,1,0.145
参数,0,0,0,0,1,4,5,0,0,10,1.45
工作状态,0,0,0,1,0,2,0,0,0,3,0.415
参数可视化平台,0,0,0,0,0,1,0,0,0,1,0.145
d2d验证平台软件系统,0,0,0,0,0,1,1,0,0,2,0.29
无锁消息队列,0,0,0,0,0,1,0,0,0,1,0.145
数据粒度均衡,0,0,0,0,0,1,0,0,0,1,0.145
unix套接字,0,0,0,0,0,1,0,0,0,1,0.145
tcp,0,0,0,0,0,2,0,0,0,2,0.29
进程间,0,0,0,0,0,1,0,0,0,1,0.145
高性能异步消息传递组件,0,0,0,0,0,1,0,0,0,1,0.145
层内模块,0,0,0,0,0,1,0,0,0,1,0.145
层间,0,0,0,0,0,1,0,0,0,1,0.145
验证平台系统,0,0,0,0,0,1,0,0,0,1,0.145
数据收发,0,0,0,0,0,2,0,0,0,2,0.29
测量,0,0,1,1,0,1,0,0,0,3,0.395
控制数据传输,0,0,0,0,0,1,0,0,0,1,0.145
业务数据传输,0,0,0,0,0,1,0,0,0,1,0.145
物理层信道功能,0,0,0,0,0,1,0,0,0,1,0.145
数据接口层,0,0,0,0,0,1,0,0,0,1,0.145
实体,0,0,0,0,0,2,0,0,0,2,0.29
radioresourcemanager,0,0,0,0,0,1,0,0,0,1,0.145
无线资源管理,0,0,1,2,0,1,0,0,0,4,0.52
无线资源调度,0,0,0,0,5,3,0,0,0,8,1.16
ite协议,0,0,0,0,0,1,0,0,0,1,0.145
协议体系,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
osi,0,0,0,0,0,1,0,0,0,1,0.145
单向数据流码率,0,0,0,0,0,1,0,0,0,1,0.145
有符号数,0,0,0,0,0,1,0,0,0,1,0.145
通用通信接口,0,0,0,0,0,1,0,0,0,1,0.145
通用硬件驱动,0,0,0,0,0,1,0,0,0,1,0.145
可视化数据监控平台,0,0,0,0,0,1,0,0,0,1,0.145
监控接口,0,0,0,0,0,1,0,0,0,1,0.145
业务,1,0,0,0,0,2,0,2,1,6,1.725
数据接口,0,0,0,0,0,1,0,0,0,1,0.145
64位多核服务器,0,0,0,0,0,1,0,0,0,1,0.145
通用软件无线电平台,0,0,0,0,0,1,0,0,0,1,0.145
pusch信道接收流程,0,0,0,0,0,2,0,0,0,2,0.29
idft,0,0,0,0,0,2,1,0,0,3,0.43499999999999994
解交织,0,0,0,0,0,1,0,0,0,1,0.145
demux,0,0,0,0,0,1,0,0,0,1,0.145
deintlv,0,0,0,0,0,1,0,0,0,1,0.145
idft变换,0,0,0,0,0,1,0,0,0,1,0.145
接收流程,0,0,0,0,0,1,0,0,0,1,0.145
信道均衡,0,0,0,0,0,1,0,0,0,1,0.145
信道估计,0,0,0,0,0,1,0,0,0,1,0.145
xequalizer,0,0,0,0,0,1,0,0,0,1,0.145
chanesterq函数,0,0,0,0,0,1,0,0,0,1,0.145
lte下行信道,0,0,0,0,0,1,0,0,0,1,0.145
chanestq函数,0,0,0,0,0,1,0,0,0,1,0.145
cp,0,0,0,0,0,1,0,0,0,1,0.145
下行信道接收流程,0,0,0,0,0,1,0,0,0,1,0.145
defrontendo函数,0,0,0,0,0,1,0,0,0,1,0.145
demu,0,0,0,0,0,1,0,0,0,1,0.145
equalizer,0,0,0,0,0,1,0,0,0,1,0.145
er,0,0,0,0,0,1,0,0,0,1,0.145
chan,0,0,0,0,0,1,0,0,0,1,0.145
通用功能接口,0,0,0,0,0,1,0,0,0,1,0.145
phy接收链路,0,0,0,0,0,1,0,0,0,1,0.145
信号处理单元,0,0,0,0,0,1,0,0,0,1,0.145
信道解码操,0,0,0,0,0,1,0,0,0,1,0.145
数据分发,0,0,0,0,0,2,0,0,0,2,0.29
信道解码线程,0,0,0,0,0,1,0,0,0,1,0.145
解码操,0,0,0,0,0,1,2,0,0,3,0.43499999999999994
信号处理模块,0,0,0,0,0,1,0,0,0,1,0.145
信道处理,0,0,0,0,0,1,0,0,0,1,0.145
数据读取,0,0,0,0,0,1,0,0,0,1,0.145
同步切换,0,0,0,0,0,1,0,0,0,1,0.145
定时监听,0,0,0,0,0,1,0,0,0,1,0.145
pdcch解码线程,0,0,0,0,0,1,0,0,0,1,0.145
pusch解码线程,0,0,0,0,0,2,5,0,0,7,1.015
pdsch解码线程,0,0,0,0,0,1,0,0,0,1,0.145
同步线程,0,0,0,0,0,1,0,0,0,1,0.145
线程资源,0,0,0,0,0,2,0,0,0,2,0.29
d2d-ccch模块,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
pbch模块,0,0,0,0,0,3,0,0,0,3,0.43499999999999994
信道解码,0,0,0,0,0,2,0,0,0,2,0.29
物理层信道处理函数,0,0,0,0,0,1,0,0,0,1,0.145
tddete,0,0,0,0,0,1,0,0,0,1,0.145
同步结,0,0,0,0,0,1,0,0,0,1,0.145
接收数据,0,0,0,0,1,2,0,0,0,3,0.43499999999999994
调制编码速率,0,0,0,0,1,0,0,0,0,1,0.145
d2d无线资源调度,0,0,0,0,1,0,0,0,0,1,0.145
频域,0,0,0,1,2,0,0,2,0,5,0.705
mcs,0,0,0,0,5,2,0,0,0,7,1.015
链路自适应,0,0,0,0,2,0,0,0,0,2,0.29
snr,0,0,0,0,2,0,0,0,0,2,0.29
链路反馈,0,0,0,0,2,0,0,0,0,2,0.29
码率,0,0,0,1,2,0,0,0,0,3,0.415
mcs级别,0,0,0,0,2,0,0,0,0,2,0.29
广播传输,0,0,0,0,1,0,0,0,0,1,0.145
广播通信,0,0,0,0,12,2,0,1,0,15,2.175
资源量,0,0,0,0,1,0,0,0,0,1,0.145
自适应,0,0,0,0,2,1,0,0,0,3,0.43499999999999994
非自适应,0,0,0,0,1,0,0,0,0,1,0.145
harq技,0,0,0,0,1,0,0,0,0,1,0.145
链路反馈机制,0,0,0,0,1,0,0,0,0,1,0.145
